"n"	"m"	"MAE"	"baseline"
"2"	10	3	0.0356635743619797	0.0882634741667
"3"	20	3	0.0180752592206193	0.0461754666077
"4"	30	3	0.0120657659349093	0.0312946172002
"5"	40	3	0.00899314276520454	0.0236213781173
"6"	50	3	0.00709100031088225	0.018963158337
"7"	60	3	0.00599629318061805	0.0158777861859
"8"	70	3	0.00497055520110869	0.0136260459476
"9"	80	3	0.00439652631114354	0.0119435962186
"10"	90	3	0.00386369240184313	0.010631761212
"11"	100	3	0.00354437212969306	0.0095868159881
